accelerationX,accelerationY,accelerationZ,accelerationIncludingGravityX,accelerationIncludingGravityY,accelerationIncludingGravityZ,rotationRateA,rotationRateB,rotationRateG,latitude,longitude,altitude,accuracy,altitudeAccuracy,heading,speed,timestamp
0,0,0,10.019622802734375,3.1925811767578125,3.567779541015625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1894377,72.8416401,null,31.070999145507812,null,null,null,1540534834053
-0.00006189942359924316,0.00023746490478515625,0.0019425153732299805,0.45550537109375,9.626876831054688,-1.16522216796875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1894408,72.8416428,null,25.04800033569336,null,null,null,1540534837109
0,0,0,-1.769805908203125,8.207931518554688,4.63018798828125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1893909,72.8416539,null,22.961999893188477,null,null,null,1540534840108
0,0,0,0.969970703125,8.1864013671875,5.175750732421875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1893644,72.8416586,null,22.797000885009766,null,null,null,1540534842981
0,0,0,-0.48486328125,8.109832763671875,4.1037750244140625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1893495,72.8416465,null,21.916000366210938,null,null,null,1540534846051
0,0,0,-1.6023101806640625,9.373245239257812,4.376556396484375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1893554,72.841647,null,24.843000411987305,null,null,null,1540534849047
0,0,0,-0.5327301025390625,8.51422119140625,4.213836669921875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1893625,72.8416477,null,27.645999908447266,null,null,null,1540534852032
0,0,0,-0.889251708984375,8.483108520507812,4.0750579833984375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1893673,72.8416481,null,31.10700035095215,null,null,null,1540534855042
0,0,0,1.919921875,7.863372802734375,5.539459228515625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1894109,72.8417506,null,24.761999130249023,null,null,null,1540534858142
0,0,0,6.2628936767578125,5.259979248046875,10.703170776367188,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1894258,72.8417576,null,22.302000045776367,null,null,null,1540534861135
0,0,0,4.4084625244140625,4.685699462890625,10.9879150390625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.189429,72.8417643,null,21.152000427246094,null,null,null,1540534864060
0,0,0,2.781341552734375,3.946319580078125,6.101776123046875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1894333,72.8417715,null,20.406999588012695,null,null,null,1540534866664
0,0,0,2.2381591796875,3.9128265380859375,6.900970458984375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1894588,72.8418051,null,19.993000030517578,null,null,null,1540534869666
0,0,0,3.8748626708984375,4.8627777099609375,6.941650390625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1895145,72.8418931,-49.900001525878906,18.986000061035156,null,null,null,1540534872647
0,0,0,3.2024688720703125,6.6286773681640625,7.908355712890625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1895681,72.8419702,-49.900001525878906,19.083999633789062,null,null,null,1540534875698
0,0,0,4.65252685546875,3.6687469482421875,7.25750732421875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1896063,72.8420088,-49.900001525878906,19.635000228881836,null,null,null,1540534878707
0,0,0,2.9153289794921875,5.5088348388671875,5.6375732421875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1896351,72.8420283,-49.900001525878906,20.413999557495117,null,null,null,1540534881734
-0.0009799003601074219,-0.0011096000671386719,0.0019011497497558594,3.6642913818359375,7.8418426513671875,6.465484619140625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1897344,72.8420129,null,19.93000030517578,null,null,null,1540534884705
0,0,0,0.5966949462890625,9.1602783203125,5.0967864990234375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1897915,72.8420144,-56.5,20.009000778198242,null,null,null,1540534887661
0,0,0,0.027191162109375,8.25579833984375,4.378936767578125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1898808,72.842065,-56.5,28.009000778198242,null,null,null,1540534890713
0,0,0,4.2696685791015625,6.2769317626953125,3.7496337890625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1899187,72.8420793,-56.5,28.775999069213867,null,null,null,1540534893742
0,0,0,3.5063629150390625,1.965057373046875,5.450927734375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1899412,72.8421118,-53.29999923706055,25.14299964904785,null,null,null,1540534895649
0,0,0,4.7075653076171875,4.3124237060546875,7.1713714599609375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1899724,72.8422062,-53.29999923706055,27.33300018310547,null,null,null,1540534899268
-0.0010186433792114258,-0.0013544559478759766,0.0007901191711425781,1.199676513671875,3.4677581787109375,7.4896087646484375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1899845,72.8422719,-53.29999923706055,23.58300018310547,null,null,null,1540534902722
-0.5610008239746094,-1.0621209144592285,-1.0815258026123047,3.8102569580078125,4.3172149658203125,6.2453460693359375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1899904,72.8423179,-53.29999923706055,22.847000122070312,null,null,null,1540534905656
0,0,0,6.2557220458984375,5.6548004150390625,7.9179229736328125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1900007,72.8423741,-56.70000076293945,21.415000915527344,null,null,null,1540534908701
