latitude,longitude,altitude,accuracy,altitudeAccuracy,heading,speed,timestamp
19.1899412,72.8421118,-53.29999923706055,25.14299964904785,null,null,null,1540534895649
19.1899724,72.8422062,-53.29999923706055,27.33300018310547,null,null,null,1540534899268
19.1899972,72.8423997,null,20.0049991607666,null,null,null,1540534911654
19.1905567,72.8449079,-49.400001525878906,18.85700035095215,null,null,null,1540534958153
19.1907777,72.8454951,-52.5,19.461000442504883,null,null,null,1540534971886
19.1901161,72.8467265,null,27.054000854492188,null,null,null,1540535046961
19.1893743,72.8498659,-35,20.363000869750977,null,null,null,1540535099853
19.1893019,72.8498682,null,17.874000549316406,null,null,null,1540535103684
19.188808,72.8498421,null,18.773000717163086,null,null,null,1540535115771
19.1862765,72.8501014,null,19.934999465942383,null,null,null,1540535302765
19.1788885,72.8500748,-48.79999923706055,30.542999267578125,null,null,null,1540535470195
19.178217,72.8503719,null,20.858999252319336,null,null,null,1540535484599
19.1765365,72.8493672,null,24.94300079345703,null,null,null,1540535541756
19.176407,72.8491043,null,34.902000427246094,null,null,null,1540535550250
19.1736692,72.8494102,null,22.996999740600586,null,null,null,1540535602253
19.1736582,72.849413,null,77.5250015258789,null,null,null,1540535618404
19.1738332,72.8494822,null,872,null,null,null,1540535639201
19.1676881,72.8503035,-12,21.841999053955078,null,null,null,1540535737169
19.1676692,72.8505938,null,20.788999557495117,null,null,null,1540535750228
19.1660489,72.8513477,-49,14.675999641418457,null,null,null,1540535802000
19.1648227,72.850982,null,19.611000061035156,null,null,null,1540535867464
19.1580077,72.8511206,-67,14.907999992370605,null,null,null,1540536033000
19.1560344,72.8519411,-52.79999923706055,19.701000213623047,null,null,null,1540536123956
19.1557198,72.8525914,-52.79999923706055,21.44700050354004,null,null,null,1540536149999
19.1555058,72.8524513,-52.79999923706055,35.19900131225586,null,null,null,1540536162992
19.15463,72.8527233,-52.79999923706055,22.80299949645996,null,null,null,1540536168777
19.1536163,72.8532424,-53,18.59600067138672,null,121,3.0999999046325684,1540536195000
19.1543839,72.8537744,-51.400001525878906,24.091999053955078,null,null,null,1540536219738
19.1547055,72.8539157,null,28.24799919128418,null,null,null,1540536234758
19.1549807,72.8542138,null,45.79800033569336,null,null,null,1540536245220
19.1556715,72.8548217,null,31.371000289916992,null,null,null,1540536249500
