latitude,longitude,altitude,accuracy,altitudeAccuracy,heading,speed,timestamp
19.1561311,72.8514691,null,27.652000427246094,null,null,null,1540474813391
19.1561989,72.8515662,null,20.992000579833984,null,null,null,1540474828479
19.1562751,72.8515797,null,20.091999053955078,null,null,null,1540474831387
19.1563639,72.8515955,null,19.38800048828125,null,null,null,1540474833883
19.15666,72.8514849,null,21.089000701904297,null,null,null,1540474838761
19.157092,72.851366,null,19.736000061035156,null,null,null,1540474848419
19.1586244,72.85088,-54.70000076293945,19.864999771118164,null,null,null,1540474885197
19.1613847,72.8509834,-47.70000076293945,21.621999740600586,null,null,null,1540475011969
19.1642621,72.8509787,-51.599998474121094,21.327999114990234,null,null,null,1540475080688
19.1644009,72.850963,null,19.56100082397461,null,null,null,1540475085812
19.1655923,72.8509298,-50.900001525878906,20.37299919128418,null,null,null,1540475200151
19.1658944,72.8512963,-47.79999923706055,19.83799934387207,null,null,null,1540475278579
19.1659218,72.8513267,-47.79999923706055,20.125999450683594,null,null,null,1540475281998
19.1669983,72.8502877,-50.599998474121094,19.839000701904297,null,null,null,1540475347210
19.1708681,72.8496833,null,19.208999633789062,null,null,null,1540475461135
19.1717488,72.8499076,null,26.981000900268555,null,null,null,1540475488430
19.1735162,72.8510213,-46.20000076293945,19.273000717163086,null,null,null,1540475563339
19.1738606,72.8481671,-57,16.07900047302246,null,263,7.159999847412109,1540475588000
19.1738765,72.8475483,-76,11.602999687194824,null,null,null,1540475598689
19.1738765,72.8475483,-76,21.968000411987305,null,null,null,1540475609117
19.1735668,72.8413387,null,20.469999313354492,null,null,null,1540475732022
19.1764845,72.8419451,-55.29999923706055,19.382999420166016,null,null,null,1540475800389
19.1767851,72.841883,null,23.770000457763672,null,null,null,1540475812402
19.1768444,72.8415689,null,21.33799934387207,null,null,null,1540475819973
19.1768116,72.8414038,null,19.9689998626709,null,null,null,1540475823030
19.1767851,72.8413192,null,19.746999740600586,null,null,null,1540475826924
19.1769012,72.8390891,null,20.214000701904297,null,null,null,1540475890359
19.1772447,72.8385774,null,20.79800033569336,null,null,null,1540475911557
